	country	artist	song	language	final-rank	points
1461	 Romania	Ilinca feat. Alex Florea	"Yodel It!"	English	7	282
1462	 Netherlands	O'G3NE	"Lights and Shadows"	English	11	150
1463	 Hungary	Joci Pápai	"Origo"	Hungarian (Romani)	8	200
				(title Latin)		
1464	 Denmark	Anja	"Where I Am"	English	20	77
1465	 Ireland	Brendan Murray	"Dying to Try"	English	-	-
1466	 San Marino	Valentina Monetta (4) & Jimmie Wilson	"Spirit of the Night"	English	-	-
1467	 Croatia	Jacques Houdek	"My Friend"	English/Italian	13	128
1468	 Norway	Jowst	"Grab the Moment"	English	10	158
1469	  Switzerland	Timebelle	"Apollo"	English	-	-
1470	 Belarus	Naviband	"Story of My Life (Historyja majho žyccia)" (Гісторыя майго жыцця)	Belarusian	17	83
1471	 Bulgaria	Kristian Kostov	"Beautiful Mess"	English	2	615
1472	 Lithuania	Fusedmarc	"Rain of Revolution"	English	-	-
1473	 Estonia	Koit Toome (2) & Laura	"Verona"	English	-	-
1474	 Israel	Imri	"I Feel Alive"	English	23	39
1475	 Italy	Francesco Gabbani	"Occidentali's Karma"	Italian (English/	6	334
				Sanskrit/Ancient Greek)		
1476	 Spain	Manel Navarro	"Do It for Your Lover"	Spanish/English	26	5
1477	 United Kingdom	Lucie Jones	"Never Give Up on You"	English	15	111
1478	 Germany	Levina	"Perfect Life"	English	25	6
1479	 Ukraine	O.Torvald	"Time"	English	24	36
1480	 France	Alma	"Requiem"	French/English	12	135
63rd Eurovision Song Contest 2018, Lisbon, Portugal						
1481	 Azerbaijan	Aisel	"X My Heart"	English	-	-
1482	 Iceland	Ari Ólafsson	"Our Choice"	English	-	-
1483	 Albania	Eugent Bushpepa	"Mall"	Albanian	11	184
1484	 Belgium	Sennek	"A Matter of Time"	English	-	-
1485	 Czech Republic	Mikolas Josef	"Lie to Me"	English	6	281
1486	 Lithuania	Ieva Zasimauskaitė	"When We're Old (Kol myliu)"	English (Lithuanian)	12	181
1487	 Israel	Netta	"Toy"	English (Hebrew/Japanese)	1	529
1488	 Belarus	Alekseev	"Forever"	English	-	-
1489	 Estonia	Elina Nechayeva	"La forza"	Italian	8	245
1490	 Bulgaria	Equinox	"Bones"	English	14	166
1491	 Macedonia	Eye Cue	"Lost and Found"	English	-	-
1492	 Croatia	Franka	"Crazy"	English	-	-
1493	 Austria	Cesár Sampson	"Nobody But You"	English	3	342
1494	 Greece	Yianna Terzi	"Oniro mou" (Όνειρό μου)	Greek	-	-
1495	 Finland	Saara Aalto	"Monsters"	English	25	46
1496	 Armenia	Sevak Khanagyan	"Qami" (Քամի)	Armenian	-	-
1497	  Switzerland	ZiBBZ	"Stones"	English	-	-
1498	 Ireland	Ryan O'Shaughnessy	"Together"	English	16	136
1499	 Cyprus	Eleni Foureira	"Fuego"	English	2	436
				(title Spanish)		
1500	 Norway	Alexander Rybak (2)	"That's How You Write a Song"	English	15	144
1501	 Romania	The Humans	"Goodbye"	English	-	-
1502	 Serbia	Sanja Ilić & Balkanika	"Nova deca" (Нова деца)	Serbian (Torlakian dialect)	19	113
1503	 San Marino	Jessika feat. Jenifer Brening	"Who We Are"	English	-	-
1504	 Denmark	Rasmussen	"Higher Ground"	English (Icelandic)	9	226
1505	 Russia	Julia Samoylova	"I Won't Break"	English	-	-
1506	 Moldova	DoReDoS	"My Lucky Day"	English	10	209
1507	 Netherlands	Waylon	"Outlaw in 'Em"	English	18	121
1508	 Australia	Jessica Mauboy	"We Got Love"	English	20	99
1509	 Georgia	Ethno-Jazz Band Iriao	"For You (Sheni gulistvis)" (შენი გულისთვის)	Georgian	-	-
1510	 Poland	Gromee feat. Lukas Meijer	"Light Me Up"	English	-	-
1511	 Malta	Christabelle	"Taboo"	English	-	-
1512	 Hungary	AWS	"Viszlát nyár"	Hungarian	21	93
1513	 Latvia	Laura Rizzotto	"Funny Girl"	English	-	-
1514	 Sweden	Benjamin Ingrosso	"Dance You Off"	English	7	274
1515	 Montenegro	Vanja Radovanović	"Inje" (Иње)	Montenegrin	-	-
1516	 Slovenia	Lea Sirk	"Hvala, ne!"	Slovene (Portuguese)	22	64
1517	 Ukraine	Mélovin	"Under the Ladder"	English	17	130
1518	 Spain	Amaia & Alfred	"Tu canción"	Spanish	23	61
1519	 Portugal	Cláudia Pascoal feat. Isaura	"O jardim"	Portuguese	26	39
1520	 United Kingdom	SuRie	"Storm"	English	24	48
1521	 Germany	Michael Schulte	"You Let Me Walk Alone"	English	4	340
1522	 France	Madame Monsieur	"Mercy"	French	13	173
1523	 Italy	Ermal Meta & Fabrizio Moro	"Non mi avete fatto niente"	Italian	5	308
64th Eurovision Song Contest 2019, Tel Aviv, Israel						
1524	 Cyprus	Tamta	"Replay"	English	13	109
1525	 Montenegro	D mol	"Heaven"	English	-	-
1526	 Finland	Darude feat. Sebastian Rejman	"Look Away"	English	-	-
1527	 Poland	Tulia	"Fire of Love (Pali się)"	Polish/English	-	-
1528	 Slovenia	Zala Kralj & Gašper Šantl	"Sebi"	Slovene	15	105
1529	 Czech Republic	Lake Malawi	"Friend of a Friend"	English	11	157
1530	 Hungary	Joci Pápai (2)	"Az én apám"	Hungarian	-	-
1531	 Belarus	Zena	"Like It"	English	24	31
1532	 Serbia	Nevena Božović	"Kruna" (Круна)	Serbian (English)	18	89
1533	 Belgium	Eliot	"Wake Up"	English	-	-
1534	 Georgia	Oto Nemsadze	"Keep on Going (Sul tsin iare)" (სულ წინ იარე)	Georgian (Abkhaz)	-	-
1535	 Australia	Kate Miller-Heidke	"Zero Gravity"	English	9	284
1536	 Iceland	Hatari	"Hatrið mun sigra"	Icelandic	10	232
1537	 Estonia	Victor Crone	"Storm"	English	20	76
1538	 Portugal	Conan Osiris	"Telemóveis"	Portuguese	-	-
1539	 Greece	Katerine Duska	"Better Love"	English	21	74
1540	 San Marino	Serhat (2)	"Say Na Na Na"	English (Turkish)	19	77
1541	 Armenia	Srbuk	"Walking Out"	English	-	-
1542	 Ireland	Sarah McTernan	"22"	English	-	-
1543	 Moldova	Anna Odobescu	"Stay"	English	-	-
1544	  Switzerland	Luca Hänni	"She Got Me"	English	4	364
1545	 Latvia	Carousel	"That Night"	English	-	-
1546	 Romania	Ester Peony	"On a Sunday"	English	-	-
1547	 Denmark	Leonora	"Love Is Forever"	English/French	12	120
				(German/Danish)		
1548	 Sweden	John Lundvik	"Too Late for Love"	English	5	334
1549	 Austria	Pænda	"Limits"	English	-	-
1550	 Croatia	Roko	"The Dream (Heroj)"	English/Croatian	-	-
1551	 Malta	Michela	"Chameleon"	English	14	107
1552	 Lithuania	Jurij Veklenko	"Run with the Lions"	English	-	-
1553	 Russia	Sergey Lazarev (2)	"Scream"	English	3	370
1554	 Albania	Jonida Maliqi	"Ktheju tokës"	Albanian	17	90
1555	 Norway	KEiiNO	"Spirit in the Sky"	English (Sami)	6	331
1556	 Netherlands	Duncan Laurence	"Arcade"	English	1	498
1557	 North Macedonia	Tamara Todevska (2)	"Proud"	English	7	305
1558	 Azerbaijan	Chingiz	"Truth"	English	8	302
1559	 Germany	S!sters	"Sister"	English	25	24
1560	 Israel	Kobi Marimi	"Home"	English	23	35
1561	 United Kingdom	Michael Rice	"Bigger than Us"	English	26	11
1562	 France	Bilal Hassani	"Roi"	French/English	16	105
				(Sign language)		
1563	 Italy	Mahmood	"Soldi"	Italian (Arabic)	2	472
1564	 Spain	Miki	"La venda"	Spanish	22	54
