,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1
416,2013,f,J,Belgium,Spain,0,0.0
417,2014,f,J,Belgium,Spain,2,0.0
418,2015,f,J,Belgium,Spain,0,0.0
419,2016,f,J,Belgium,Spain,0,0.0
420,2016,f,T,Belgium,Spain,0,0.0
421,1975,f,J,Belgium,Sweden,0,0.0
422,1977,f,J,Belgium,Sweden,0,0.0
423,1978,f,J,Belgium,Sweden,0,0.0
424,1979,f,J,Belgium,Sweden,0,0.0
425,1980,f,J,Belgium,Sweden,0,0.0
426,1981,f,J,Belgium,Sweden,4,0.0
427,1982,f,J,Belgium,Sweden,5,0.0
428,1983,f,J,Belgium,Sweden,5,0.0
429,1984,f,J,Belgium,Sweden,7,0.0
430,1985,f,J,Belgium,Sweden,7,0.0
431,1986,f,J,Belgium,Sweden,0,0.0
432,1987,f,J,Belgium,Sweden,1,0.0
433,1988,f,J,Belgium,Sweden,1,0.0
434,1989,f,J,Belgium,Sweden,6,0.0
435,1990,f,J,Belgium,Sweden,0,0.0
436,1991,f,J,Belgium,Sweden,10,0.0
437,1992,f,J,Belgium,Sweden,0,0.0
438,1993,f,J,Belgium,Sweden,10,0.0
439,1995,f,J,Belgium,Sweden,0,0.0
440,1996,f,J,Belgium,Sweden,10,0.0
441,1998,f,J,Belgium,Sweden,0,0.0
442,1999,f,J,Belgium,Sweden,7,0.0
443,2000,f,J,Belgium,Sweden,5,0.0
444,2002,f,J,Belgium,Sweden,1,0.0
445,2003,f,J,Belgium,Sweden,4,0.0
446,2004,f,J,Belgium,Sweden,2,0.0
447,2005,f,J,Belgium,Sweden,0,0.0
448,2006,f,J,Belgium,Sweden,5,0.0
449,2006,sf,J,Belgium,Sweden,5,0.0
450,2007,f,J,Belgium,Sweden,0,0.0
451,2008,f,J,Belgium,Sweden,0,0.0
452,2009,f,J,Belgium,Sweden,0,0.0
453,2009,sf1,J,Belgium,Sweden,4,0.0
454,2011,f,J,Belgium,Sweden,4,0.0
455,2011,sf2,J,Belgium,Sweden,12,0.0
456,2012,f,J,Belgium,Sweden,12,0.0
457,2013,f,J,Belgium,Sweden,1,0.0
458,2014,f,J,Belgium,Sweden,10,0.0
459,2014,sf1,J,Belgium,Sweden,8,0.0
460,2015,f,J,Belgium,Sweden,12,0.0
461,2016,f,J,Belgium,Sweden,0,0.0
462,2016,f,T,Belgium,Sweden,1,0.0
463,1975,f,J,Belgium,Switzerland,8,0.0
464,1976,f,J,Belgium,Switzerland,7,0.0
465,1977,f,J,Belgium,Switzerland,8,0.0
466,1978,f,J,Belgium,Switzerland,7,0.0
467,1979,f,J,Belgium,Switzerland,0,0.0
468,1980,f,J,Belgium,Switzerland,2,0.0
469,1981,f,J,Belgium,Switzerland,0,0.0
470,1982,f,J,Belgium,Switzerland,12,0.0
471,1983,f,J,Belgium,Switzerland,1,0.0
472,1984,f,J,Belgium,Switzerland,5,0.0
473,1985,f,J,Belgium,Switzerland,5,0.0
474,1986,f,J,Belgium,Switzerland,12,0.0
475,1987,f,J,Belgium,Switzerland,0,0.0
476,1988,f,J,Belgium,Switzerland,4,0.0
477,1989,f,J,Belgium,Switzerland,0,0.0
478,1990,f,J,Belgium,Switzerland,0,0.0
479,1991,f,J,Belgium,Switzerland,12,0.0
480,1992,f,J,Belgium,Switzerland,5,0.0
481,1993,f,J,Belgium,Switzerland,8,0.0
482,1996,f,J,Belgium,Switzerland,2,0.0
483,1998,f,J,Belgium,Switzerland,0,0.0
484,2000,f,J,Belgium,Switzerland,0,0.0
485,2002,f,J,Belgium,Switzerland,0,0.0
486,2004,sf,J,Belgium,Switzerland,0,0.0
487,2005,f,J,Belgium,Switzerland,0,0.0
488,2005,sf,J,Belgium,Switzerland,0,0.0
489,2006,f,J,Belgium,Switzerland,0,0.0
490,2007,sf,J,Belgium,Switzerland,0,0.0
491,2009,sf1,J,Belgium,Switzerland,0,0.0
492,2011,f,J,Belgium,Switzerland,0,0.0
493,2012,sf1,J,Belgium,Switzerland,0,0.0
494,2014,f,J,Belgium,Switzerland,0,0.0
495,2016,sf2,J,Belgium,Switzerland,1,0.0
496,2016,sf2,T,Belgium,Switzerland,0,0.0
497,1975,f,J,Belgium,The Netherlands,3,0.0
498,1976,f,J,Belgium,The Netherlands,4,0.0
499,1977,f,J,Belgium,The Netherlands,10,0.0
500,1978,f,J,Belgium,The Netherlands,0,0.0
501,1979,f,J,Belgium,The Netherlands,3,0.0
502,1980,f,J,Belgium,The Netherlands,3,0.0
503,1981,f,J,Belgium,The Netherlands,2,0.0
504,1982,f,J,Belgium,The Netherlands,0,0.0
505,1983,f,J,Belgium,The Netherlands,2,0.0
506,1984,f,J,Belgium,The Netherlands,0,0.0
507,1986,f,J,Belgium,The Netherlands,0,0.0
508,1987,f,J,Belgium,The Netherlands,0,0.0
509,1988,f,J,Belgium,The Netherlands,0,0.0
510,1989,f,J,Belgium,The Netherlands,0,0.0
511,1990,f,J,Belgium,The Netherlands,0,0.0
512,1992,f,J,Belgium,The Netherlands,2,0.0
513,1993,f,J,Belgium,The Netherlands,7,0.0
514,1996,f,J,Belgium,The Netherlands,1,0.0
515,1998,f,J,Belgium,The Netherlands,12,0.0
516,1999,f,J,Belgium,The Netherlands,12,0.0
517,2000,f,J,Belgium,The Netherlands,8,0.0
518,2003,f,J,Belgium,The Netherlands,8,0.0
519,2004,f,J,Belgium,The Netherlands,6,0.0
520,2004,sf,J,Belgium,The Netherlands,12,0.0
521,2005,sf,J,Belgium,The Netherlands,12,0.0
522,2006,sf,J,Belgium,The Netherlands,4,0.0
523,2007,sf,J,Belgium,The Netherlands,10,0.0
524,2008,sf1,J,Belgium,The Netherlands,8,0.0
525,2011,sf2,J,Belgium,The Netherlands,8,0.0
526,2013,f,J,Belgium,The Netherlands,12,0.0
527,2013,sf1,J,Belgium,The Netherlands,12,0.0
528,2014,f,J,Belgium,The Netherlands,8,0.0
